['0', '41773/14944774', '41780/7472387', '250741/29889548', '334439/29889548', '104560/7472387', '502167/29889548', '11274/574799', '167628/7472387', '377491/14944774', '419849/14944774', '462333/14944774', '1009945/29889548', '1095545/29889548', '1181513/29889548', '1267875/29889548', '1354671/29889548', '1441943/29889548', '382431/7472387', '404516/7472387', '426753/7472387', '138201/2299196', '943463/14944774', '1978013/29889548', '2069939/29889548', '540695/7472387', '1128313/14944774']
['3053657/93005411', '9233591/279016233', '9310631/279016233', '9391561/279016233', '3158619/93005411', '9563053/279016233', '9652751/279016233', '9744581/279016233', '3279407/93005411', '9933383/279016233', '10029787/279016233', '10127215/279016233', '10225375/279016233', '10324097/279016233', '3474379/93005411', '10522273/279016233', '3540425/93005411', '10719931/279016233', '10817981/279016233', '10915175/279016233', '3670407/93005411', '11105813/279016233', '3732861/93005411', '11289119/279016233', '3792319/93005411', '3820507/93005411', '3847391/93005411']
['4608407/139555677', '4642793/139555677', '4679329/139555677', '4717813/139555677', '4757947/139555677', '1599849/46518559', '1614123/46518559', '1628761/46518559', '4931075/139555677', '4976653/139555677', '5022827/139555677', '5069537/139555677', '5116589/139555677', '1721313/46518559', '5211427/139555677', '5258975/139555677', '1768811/46518559', '5353733/139555677', '5400695/139555677', '5447251/139555677', '5493197/139555677', '1846143/46518559', '5582719/139555677', '1875303/46518559', '5667721/139555677', '1902641/46518559', '5746157/139555677']
['1853883/55839769', '9334567/279198845', '9403993/279198845', '9477209/279198845', '9553737/279198845', '9633133/279198845', '9715003/279198845', '9798997/279198845', '1976959/55839769', '9972107/279198845', '10060653/279198845', '10150223/279198845', '2048105/55839769', '10331351/279198845', '10422517/279198845', '10513729/279198845', '10604807/279198845', '10695511/279198845', '10785573/279198845', '10874761/279198845', '10962771/279198845', '11049287/279198845', '11133959/279198845', '11216383/279198845', '105571/2609335', '11372561/279198845', '11445181/279198845']
['291313/8727698', '2345887/69821584', '84369/2493628', '1189849/34910792', '2397895/69821584', '2416793/69821584', '2436317/69821584', '2456357/69821584', '619215/17455396', '2497727/69821584', '2518913/69821584', '2540343/69821584', '9419/256697', '1291853/34910792', '2605545/69821584', '2627377/69821584', '2649187/69821584', '2670889/69821584', '2692439/69821584', '2713755/69821584', '2734787/69821584', '2755429/69821584', '693905/17455396', '2795237/69821584', '703547/17455396', '23801/586736', '356189/8727698']
['1874275/55873327', '9429609/279366635', '9491951/279366635', '9557967/279366635', '9627213/279366635', '1939855/55873327', '9773781/279366635', '9850377/279366635', '9928763/279366635', '10008651/279366635', '10089757/279366635', '10171871/279366635', '10254727/279366635', '10338061/279366635', '10421753/279366635', '10505453/279366635', '10589013/279366635', '10672173/279366635', '10754679/279366635', '10836283/279366635', '10916693/279366635', '10995591/279366635', '2214527/55873327', '11147431/279366635', '2243907/55873327', '11288433/279366635', '2270717/55873327']
['4710367/139723467', '4737835/139723467', '4767287/139723467', '4798571/139723467', '4831423/139723467', '4865689/139723467', '4901147/139723467', '4937663/139723467', '4975043/139723467', '5013197/139723467', '1683977/46574489', '5091185/139723467', '5130791/139723467', '5170649/139723467', '5210663/139723467', '1750233/46574489', '5290639/139723467', '5330395/139723467', '5369801/139723467', '5408773/139723467', '5447119/139723467', '5484733/139723467', '1840465/46574489', '1852319/46574489', '5591159/139723467', '5623795/139723467', '5654561/139723467']
['4733451/139760195', '4759382/139760195', '4787269/139760195', '4816928/139760195', '4848154/139760195', '4880751/139760195', '4914547/139760195', '989874/27952039', '4985071/139760195', '5021514/139760195', '5058559/139760195', '5096092/139760195', '5133999/139760195', '5172129/139760195', '5210437/139760195', '5248736/139760195', '5286964/139760195', '5324979/139760195', '1072533/27952039', '5399892/139760195', '1087303/27952039', '5472382/139760195', '1101465/27952039', '5541151/139760195', '1114730/27952039', '5604583/139760195', '1126740/27952039']
['679505/19970989', '4780929/139796923', '4807251/139796923', '690755/19970989', '4864885/139796923', '4895813/139796923', '4927947/139796923', '4961077/139796923', '4995099/139796923', '5029831/139796923', '5065187/139796923', '5100999/139796923', '5137207/139796923', '739087/19970989', '5210211/139796923', '749539/19970989', '5283289/139796923', '5319563/139796923', '5355529/139796923', '5391011/139796923', '5425911/139796923', '5460031/139796923', '5493255/139796923', '789335/19970989', '5556141/139796923', '5585371/139796923', '5612839/139796923']
['298628/8739403', '4801051/139830448', '603239/17478806', '4852465/139830448', '1220133/34957612', '4909929/139830448', '2470245/69915224', '621507/17478806', '1251121/34957612', '2518817/69915224', '2535689/69915224', '1276399/34957612', '642523/17478806', '5174981/139830448', '2604977/69915224', '2622453/69915224', '5279787/139830448', '5314447/139830448', '5348775/139830448', '336415/8739403', '338494/8739403', '1362103/34957612', '5480007/139830448', '5510503/139830448', '2769849/69915224', '1391843/34957612', '5593303/139830448']
['4799561/139863973', '4821173/139863973', '4844573/139863973', '4869645/139863973', '4896179/139863973', '4924045/139863973', '4953033/139863973', '4983035/139863973', '5013869/139863973', '5045437/139863973', '5077569/139863973', '5110193/139863973', '5143161/139863973', '5176353/139863973', '5209697/139863973', '5243039/139863973', '5276285/139863973', '5309331/139863973', '5342021/139863973', '5374269/139863973', '5405897/139863973', '5436793/139863973', '5466759/139863973', '5495661/139863973', '5523255/139863973', '5549373/139863973', '5573767/139863973']
['2409772/69947235', '4839871/139894470', '2430974/69947235', '814273/23315745', '4910777/139894470', '493720/13989447', '827458/23315745', '2496637/69947235', '5022637/139894470', '280706/7771915', '2541677/69947235', '5114461/139894470', '2572966/69947235', '2588801/69947235', '2604718/69947235', '524125/13989447', '1054597/27978894', '2652248/69947235', '1067135/27978894', '2683196/69947235', '539651/13989447', '2712943/69947235', '5454359/139894470', '548176/13989447', '2753948/69947235', '922094/23315745', '5555567/139894470']
['691361/19989281', '4858569/139924967', '4879323/139924967', '700233/19989281', '54125/1537637', '4950355/139924967', '4976463/139924967', '5003513/139924967', '5031405/139924967', '5059979/139924967', '5089139/139924967', '731247/19989281', '735529/19989281', '5178851/139924967', '5209175/139924967', '5239461/139924967', '5269685/139924967', '5299661/139924967', '5329329/139924967', '5358515/139924967', '769589/19989281', '5414979/139924967', '5441959/139924967', '5467859/139924967', '5492537/139924967', '787965/19989281', '5537367/139924967']
['9716037/279905297', '9751823/279905297', '9790883/279905297', '9832995/279905297', '9877873/279905297', '1417887/39986471', '1424959/39986471', '10026111/279905297', '10079121/279905297', '10133511/279905297', '10189021/279905297', '10245411/279905297', '10302515/279905297', '154627/4177691', '10417793/279905297', '10475545/279905297', '10533129/279905297', '10590257/279905297', '10646729/279905297', '10702285/279905297', '1536665/39986471', '10809577/279905297', '10860733/279905297', '10909799/279905297', '10956427/279905297', '1571463/39986471', '11040895/279905297']
['487651/13998033', '2446627/69990165', '491156/13998033', '821894/23330055', '2476249/69990165', '29969/843255', '499825/13998033', '358757/9998595', '841286/23330055', '2536766/69990165', '2549941/69990165', '854447/23330055', '2576906/69990165', '2590579/69990165', '868103/23330055', '374006/9998595', '2631722/69990165', '293922/7776685', '531740/13998033', '534377/13998033', '127846/3332865', '2697299/69990165', '301043/7776685', '8638/222191', '6583/168651', '130583/3332865', '2751764/69990165']
['4893568/140005367', '4909254/140005367', '4926466/140005367', '4945110/140005367', '4965064/140005367', '4986195/140005367', '5008360/140005367', '5031436/140005367', '5055290/140005367', '5079807/140005367', '5104868/140005367', '5130353/140005367', '5156178/140005367', '5182199/140005367', '5208346/140005367', '5234480/140005367', '5260524/140005367', '5286344/140005367', '5311837/140005367', '5336879/140005367', '5361343/140005367', '5385099/140005367', '5407998/140005367', '5429890/140005367', '5450608/140005367', '5469989/140005367', '5487882/140005367']
['2455313/70015202', '2462627/70015202', '1235343/35007601', '1239714/35007601', '2488815/70015202', '1249384/35007601', '2509235/70015202', '2520137/70015202', '1265716/35007601', '2543041/70015202', '2554927/70015202', '1283506/35007601', '1289636/35007601', '1295810/35007601', '2604037/70015202', '1308219/35007601', '1314401/35007601', '1320523/35007601', '2653137/70015202', '1332497/35007601', '2676577/70015202', '1343900/35007601', '2698611/70015202', '1354460/35007601', '2718663/70015202', '1363873/35007601', '1368059/35007601']
['4926302/140052999', '4939994/140052999', '4955101/140052999', '4971548/140052999', '1663076/46684333', '5008024/140052999', '5027809/140052999', '1682820/46684333', '5069861/140052999', '5091896/140052999', '5114456/140052999', '1712474/46684333', '1720238/46684333', '1728066/46684333', '1735930/46684333', '1743792/46684333', '5254865/140052999', '5278133/140052999', '5301082/140052999', '5323586/140052999', '1781844/46684333', '5366789/140052999', '1795740/46684333', '1802228/46684333', '1808343/46684333', '5442107/140052999', '5457793/140052999']
['2470989/70037797', '2477367/70037797', '2484415/70037797', '2492120/70037797', '2500413/70037797', '2509256/70037797', '2518574/70037797', '2528323/70037797', '2538429/70037797', '2548855/70037797', '2559529/70037797', '2570410/70037797', '2581442/70037797', '2592578/70037797', '2603753/70037797', '2614938/70037797', '2626063/70037797', '2637087/70037797', '2647945/70037797', '2658592/70037797', '2668955/70037797', '2678989/70037797', '2688609/70037797', '2697764/70037797', '2706366/70037797', '2714361/70037797', '2721675/70037797']
['9912667/280191817', '9936475/280191817', '9962879/280191817', '9991783/280191817', '10022999/280191817', '10056315/280191817', '10091511/280191817', '10128357/280191817', '10166629/280191817', '10206115/280191817', '10246609/280191817', '10287877/280191817', '10329761/280191817', '10372031/280191817', '10414473/280191817', '10456923/280191817', '10499165/280191817', '10540975/280191817', '10582161/280191817', '10622487/280191817', '10661729/280191817', '10699645/280191817', '10735977/280191817', '10770461/280191817', '10802823/280191817', '10832803/280191817', '10860187/280191817']
['4970689/140116223', '4981741/140116223', '4994049/140116223', '5007543/140116223', '386321/10778171', '5037803/140116223', '5054363/140116223', '5071711/140116223', '5089771/140116223', '5108405/140116223', '394427/10778171', '5147057/140116223', '5166877/140116223', '5186875/140116223', '5206967/140116223', '5227047/140116223', '5247039/140116223', '5266801/140116223', '5286271/140116223', '5305303/140116223', '5323819/140116223', '5341667/140116223', '5358759/140116223', '5374933/140116223', '5390091/140116223', '5404081/140116223', '5416837/140116223']
['9967577/280268895', '9988183/280268895', '10011169/280268895', '10036457/280268895', '10063909/280268895', '10093331/280268895', '2024905/56053779', '10157281/280268895', '2038279/56053779', '10226659/280268895', '10262887/280268895', '686657/18684593', '2067479/56053779', '10375319/280268895', '281443/7574835', '10451471/280268895', '10489337/280268895', '10526789/280268895', '10563629/280268895', '10599643/280268895', '10634617/280268895', '10668313/280268895', '10700503/280268895', '3576979/93422965', '10759369/280268895', '3595191/93422965', '3603127/93422965']
['624611/17519084', '2503221/70076336', '156785/4379771', '228587/6370576', '630217/17519084', '631941/17519084', '2535081/70076336', '2542785/70076336', '57973/1592644', '2559127/70076336', '641917/17519084', '2576399/70076336', '2585259/70076336', '1297111/35038168', '650803/17519084', '653053/17519084', '2621149/70076336', '1314997/35038168', '2638679/70076336', '1323585/35038168', '2655399/70076336', '2663323/70076336', '333859/8759542', '1339001/35038168', '2684639/70076336', '1345373/35038168', '168517/4379771']
['10017599/280337915', '10035353/280337915', '2011055/56067583', '10077313/280337915', '183661/5097053', '10127239/280337915', '10154789/280337915', '10183809/280337915', '10214111/280337915', '10245507/280337915', '790601/21564455', '2062165/56067583', '10344371/280337915', '10378289/280337915', '2082467/56067583', '2089279/56067583', '10480231/280337915', '10513673/280337915', '811271/21564455', '813737/21564455', '964513/25485265', '10639489/280337915', '10667903/280337915', '10694657/280337915', '10719537/280337915', '976577/25485265', '10762953/280337915']
['5020711/140185243', '5028911/140185243', '5038155/140185243', '5048399/140185243', '5059619/140185243', '5071711/140185243', '5084627/140185243', '5098239/140185243', '5112487/140185243', '5127253/140185243', '5142477/140185243', '5158027/140185243', '5173853/140185243', '5189845/140185243', '5205911/140185243', '5221971/140185243', '5237933/140185243', '5253685/140185243', '479015/12744113', '5284241/140185243', '5298845/140185243', '5312843/140185243', '5326159/140185243', '5338653/140185243', '5350259/140185243', '5360855/140185243', '488219/12744113']
['5031500/140199763', '5039114/140199763', '5047708/140199763', '5057270/140199763', '5067757/140199763', '5079097/140199763', '5091217/140199763', '5104028/140199763', '5117441/140199763', '5131369/140199763', '5145728/140199763', '5160420/140199763', '5175362/140199763', '5190483/140199763', '5205658/140199763', '474622/12745433', '5235914/140199763', '477345/12745433', '5265395/140199763', '5279616/140199763', '5293362/140199763', '482412/12745433', '5319026/140199763', '5330739/140199763', '5341581/140199763', '5351466/140199763', '5360343/140199763']
['5042289/140214283', '5049317/140214283', '459751/12746753', '5066141/140214283', '461445/12746753', '5086483/140214283', '27261/749809', '5109817/140214283', '5122395/140214283', '5135485/140214283', '468089/12746753', '5162813/140214283', '5176871/140214283', '5191121/140214283', '5205405/140214283', '5219713/140214283', '5233895/140214283', '5247905/140214283', '5261625/140214283', '5274991/140214283', '5287879/140214283', '5300221/140214283', '5311893/140214283', '5322825/140214283', '5332903/140214283', '5342077/140214283', '5350277/140214283']
['10104055/280454351', '10117055/280454351', '10131819/280454351', '10148341/280454351', '10166559/280454351', '10186361/280454351', '10207601/280454351', '10230141/280454351', '10253811/280454351', '10278441/280454351', '10303881/280454351', '10329959/280454351', '10356491/280454351', '10383369/280454351', '10410343/280454351', '10437331/280454351', '10464097/280454351', '10490505/280454351', '10516371/280454351', '10541519/280454351', '10565767/280454351', '10588927/280454351', '10610813/280454351', '10631251/280454351', '10650065/280454351', '10667125/280454351', '10682353/280454351']
['2530883/70120034', '2533869/70120034', '2537279/70120034', '1270550/35060017', '1272666/35060017', '2549939/70120034', '2554897/70120034', '1280081/35060017', '1282854/35060017', '1285739/35060017', '2577451/70120034', '2583573/70120034', '1294905/35060017', '1298062/35060017', '2602469/70120034', '2608809/70120034', '2615101/70120034', '1310650/35060017', '2627373/70120034', '1316632/35060017', '1319472/35060017', '2644353/70120034', '1324730/35060017', '2654213/70120034', '2658581/70120034', '1331262/35060017', '1333019/35060017']
['10141045/280502981', '922917/25500271', '10164709/280502981', '10178921/280502981', '10194677/280502981', '10211893/280502981', '10230439/280502981', '10250189/280502981', '933727/25500271', '10292703/280502981', '10315165/280502981', '939839/25500271', '10361713/280502981', '10385521/280502981', '10409419/280502981', '10433325/280502981', '10457015/280502981', '10480367/280502981', '954837/25500271', '10525363/280502981', '10546671/280502981', '10566959/280502981', '10586055/280502981', '10603809/280502981', '10620065/280502981', '10634719/280502981', '10647719/280502981']
['5079279/140262913', '5084349/140262913', '5090151/140262913', '728103/20037559', '5104013/140262913', '5112015/140262913', '5120645/140262913', '5129865/140262913', '5139581/140262913', '5149747/140262913', '5160263/140262913', '5171083/140262913', '740299/20037559', '5193273/140262913', '5204481/140262913', '745101/20037559', '5226813/140262913', '5237767/140262913', '5248461/140262913', '5258835/140262913', '5268783/140262913', '5278253/140262913', '755305/20037559', '5295383/140262913', '5302903/140262913', '5309671/140262913', '5315643/140262913']
['2543561/70136494', '2545895/70136494', '2548579/70136494', '2551621/70136494', '5110027/140272988', '2558739/70136494', '5125543/140272988', '1283541/35068247', '2571637/70136494', '31041/845018', '5162689/140272988', '5172853/140272988', '1295803/35068247', '2596861/70136494', '2602137/70136494', '2607413/70136494', '1306319/35068247', '2617783/70136494', '2622807/70136494', '5255341/140272988', '5264667/140272988', '5273519/140272988', '2640909/70136494', '5289495/140272988', '5296487/140272988', '1325688/35068247', '5308273/140272988']
['5094965/140283063', '5099231/140283063', '5104165/140283063', '5109763/140283063', '189483/5195669', '1707647/46761021', '570049/15587007', '1712821/46761021', '5146967/140283063', '5155865/140283063', '1721705/46761021', '5174623/140283063', '5184331/140283063', '5194171/140283063', '1734689/46761021', '5213945/140283063', '5223739/140283063', '581485/15587007', '1747589/46761021', '5251847/140283063', '1753517/46761021', '5268785/140283063', '5276501/140283063', '5283607/140283063', '1763357/46761021', '5295833/140283063', '5300903/140283063']
['10203929/280583861', '10211779/280583861', '10220871/280583861', '10231235/280583861', '10242869/280583861', '10255715/280583861', '10269685/280583861', '604981/16504933', '10300577/280583861', '10317255/280583861', '10334587/280583861', '10352445/280583861', '610039/16504933', '10389151/280583861', '10407735/280583861', '10426297/280583861', '10444675/280583861', '10462753/280583861', '10480369/280583861', '10497385/280583861', '10513657/280583861', '10529041/280583861', '10543409/280583861', '10556631/280583861', '10568605/280583861', '10579265/280583861', '10588601/280583861']
['2554482/70150399', '2556274/70150399', '2558353/70150399', '2560736/70150399', '2563414/70150399', '2566387/70150399', '233602/6377309', '2573107/70150399', '234255/6377309', '2580695/70150399', '234976/6377309', '2588911/70150399', '2593166/70150399', '2597490/70150399', '2601834/70150399', '2606176/70150399', '2610468/70150399', '2614694/70150399', '2618801/70150399', '2622769/70150399', '2626553/70150399', '2630128/70150399', '2633454/70150399', '2636512/70150399', '2639267/70150399', '240156/6377309', '2643849/70150399']
['5115185/140308566', '853078/23384761', '853716/23384761', '1708897/46769522', '1710551/46769522', '5137165/140308566', '2571595/70154283', '2574841/70154283', '859432/23384761', '2581931/70154283', '2585716/70154283', '863208/23384761', '2593616/70154283', '865889/23384761', '5203487/140308566', '868604/23384761', '869946/23384761', '1742529/46769522', '5235281/140308566', '1747565/46769522', '2624882/70154283', '1752141/46769522', '2631307/70154283', '878047/23384761', '2636692/70154283', '1759299/46769522', '2640911/70154283']
['2560703/70158167', '2562194/70158167', '2563943/70158167', '2565955/70158167', '2568239/70158167', '2570778/70158167', '2573568/70158167', '2576575/70158167', '2579787/70158167', '2867/77867', '2586696/70158167', '2590337/70158167', '2594066/70158167', '2597844/70158167', '2601653/70158167', '2605448/70158167', '2609208/70158167', '2612893/70158167', '2616480/70158167', '2619926/70158167', '2623211/70158167', '2626295/70158167', '2629160/70158167', '154810/4126951', '2634117/70158167', '2636181/70158167', '2637973/70158167']
['5126913/140323124', '5129645/140323124', '5132851/140323124', '5136559/140323124', '5140773/140323124', '1286370/35080781', '5150655/140323124', '5156255/140323124', '5162237/140323124', '2584275/70161562', '1293785/35080781', '5181955/140323124', '5188929/140323124', '2598003/70161562', '5203135/140323124', '5210243/140323124', '5217275/140323124', '1306043/35080781', '5230869/140323124', '5237305/140323124', '2621711/70161562', '5249163/140323124', '1313619/35080781', '1314828/35080781', '5263639/140323124', '5267441/140323124', '1317681/35080781']
['2566210/70164957', '855817/23388319', '2568908/70164957', '856868/23388319', '2572534/70164957', '858234/23388319', '859029/23388319', '2579680/70164957', '2582450/70164957', '2585383/70164957', '2588444/70164957', '2591618/70164957', '2594863/70164957', '866054/23388319', '2601482/70164957', '868265/23388319', '2608067/70164957', '2611279/70164957', '871463/23388319', '2617379/70164957', '2620211/70164957', '2622868/70164957', '2625316/70164957', '2627542/70164957', '2629522/70164957', '2631260/70164957', '2632751/70164957']
['3424851/93557213', '10279073/280671639', '3428139/93557213', '3430213/93557213', '10297759/280671639', '3435255/93557213', '10314611/280671639', '10324231/280671639', '10334549/280671639', '10345469/280671639', '3452299/93557213', '3456247/93557213', '3460293/93557213', '3464399/93557213', '3468541/93557213', '3472665/93557213', '10430231/280671639', '3480739/93557213', '3484609/93557213', '3488319/93557213', '10475503/280671639', '10485359/280671639', '3498145/93557213', '10502651/280671639', '3503317/93557213', '3505441/93557213', '10521787/280671639']
['5142133/140341725', '5144171/140341725', '5146601/140341725', '572159/15593525', '5152691/140341725', '572929/15593525', '5160437/140341725', '5164871/140341725', '5169649/140341725', '574967/15593525', '5180009/140341725', '1037101/28068345', '5191153/140341725', '1732291/46780575', '5202659/140341725', '347227/9356115', '5214097/140341725', '5219659/140341725', '580561/15593525', '5230199/140341725', '1745027/46780575', '1746541/46780575', '5243803/140341725', '583063/15593525', '5250907/140341725', '5253803/140341725', '350419/9356115']
['10292797/280693701', '10296511/280693701', '10300939/280693701', '3435377/93564567', '10312117/280693701', '10318889/280693701', '3442139/93564567', '3444881/93564567', '10343503/280693701', '3450971/93564567', '3454261/93564567', '10373033/280693701', '1153729/31188189', '3464747/93564567', '10405027/280693701', '3471919/93564567', '1158485/31188189', '10436737/280693701', '10446763/280693701', '10456349/280693701', '3488467/93564567', '3491275/93564567', '3493847/93564567', '1165387/31188189', '10494613/280693701', '10499921/280693701', '10504441/280693701']
['71537/1949333', '1288085/35087994', '2577169/70175988', '429725/11695998', '2579713/70175988', '645316/17543997', '1291495/35087994', '1292443/35087994', '862309/23391996', '863035/23391996', '2591387/70175988', '72049/1949333', '649051/17543997', '216557/5847999', '650296/17543997', '216973/5847999', '1303067/35087994', '869513/23391996', '2610857/70175988', '871025/23391996', '217930/5847999', '290789/7797332', '2618869/70175988', '145581/3898666', '291317/7797332', '291451/7797332', '1312039/35087994']
['10308785/280712799', '10311821/280712799', '10315465/280712799', '10319773/280712799', '3441593/93570933', '1147831/31190311', '10336853/280712799', '3447953/93570933', '1150159/31190311', '3453169/93570933', '10367999/280712799', '3458945/93570933', '10385929/280712799', '10395161/280712799', '10404481/280712799', '10413755/280712799', '10422917/280712799', '10431857/280712799', '10440479/280712799', '10448705/280712799', '10456439/280712799', '1162623/31190311', '3490045/93570933', '10475971/280712799', '10481089/280712799', '10485487/280712799', '10489201/280712799']
['5158121/140360823', '1719827/46786941', '5161127/140360823', '5163073/140360823', '5165353/140360823', '5167951/140360823', '304169/8256519', '5174087/140360823', '1725859/46786941', '1727099/46786941', '5185225/140360823', '1729769/46786941', '5193521/140360823', '5197793/140360823', '5202113/140360823', '306259/8256519', '192987/5198549', '5214779/140360823', '5218765/140360823', '5222555/140360823', '5226119/140360823', '581045/15595647', '5232397/140360823', '5235055/140360823', '5237383/140360823', '5239369/140360823', '1747015/46786941']
['10322737/280729267', '10325201/280729267', '1475455/40104181', '794749/21594559', '795069/21594559', '1477239/40104181', '10346043/280729267', '10351979/280729267', '10358427/280729267', '10365325/280729267', '10372603/280729267', '10380191/280729267', '10388013/280729267', '10395963/280729267', '10403989/280729267', '10411971/280729267', '10419853/280729267', '1489647/40104181', '10434915/280729267', '10441941/280729267', '10448523/280729267', '1493513/40104181', '10460087/280729267', '10464969/280729267', '10469215/280729267', '10472837/280729267', '10475873/280729267']
['1291154/35092111', '1291430/35092111', '2583529/70184222', '1292166/35092111', '1292636/35092111', '2586361/70184222', '2587585/70184222', '1294473/35092111', '2590425/70184222', '1296007/35092111', '2593689/70184222', '1297721/35092111', '1298623/35092111', '2599085/70184222', '1300469/35092111', '1301392/35092111', '1302301/35092111', '2606375/70184222', '2608075/70184222', '2609693/70184222', '1305601/35092111', '2612593/70184222', '2613845/70184222', '2614957/70184222', '1307958/35092111', '1308367/35092111', '1308707/35092111']
['1722477/46790569', '1722808/46790569', '5169637/140371707', '1723698/46790569', '738973/20053101', '5174800/140371707', '1725684/46790569', '1726518/46790569', '5182286/140371707', '1728407/46790569', '1729442/46790569', '5191570/140371707', '5194921/140371707', '1732777/46790569', '1733924/46790569', '1735065/46790569', '5208571/140371707', '1737284/46790569', '5215004/140371707', '5217991/140371707', '5220778/140371707', '5223335/140371707', '5225636/140371707', '5227666/140371707', '1743139/46790569', '5230900/140371707', '1744044/46790569']
['2585123/70187485', '2585564/70187485', '2586108/70187485', '2586762/70187485', '2587539/70187485', '2588439/70187485', '2589467/70187485', '2590608/70187485', '2591861/70187485', '2593207/70187485', '2594637/70187485', '2596128/70187485', '519535/14037497', '2599246/70187485', '2600834/70187485', '2602411/70187485', '2603969/70187485', '2605477/70187485', '2606929/70187485', '2608298/70187485', '2609576/70187485', '2610742/70187485', '2611791/70187485', '2612709/70187485', '2613501/70187485', '2614166/70187485', '2614718/70187485']
['10345351/280755517', '10346941/280755517', '10348899/280755517', '10351273/280755517', '10354095/280755517', '10357385/280755517', '10361143/280755517', '1480763/40107931', '10369949/280755517', '10374921/280755517', '10380199/280755517', '10385721/280755517', '10391441/280755517', '10397269/280755517', '10403145/280755517', '1486999/40107931', '10414755/280755517', '10420339/280755517', '10425697/280755517', '10430755/280755517', '1490779/40107931', '10439739/280755517', '1491939/40107931', '10446927/280755517', '10449801/280755517', '10452213/280755517', '1493457/40107931']
['5175105/140380547', '5175813/140380547', '5176683/140380547', '5177749/140380547', '5179017/140380547', '5180507/140380547', '5182209/140380547', '5184125/140380547', '5186227/140380547', '5188507/140380547', '5190925/140380547', '5193465/140380547', '5196091/140380547', '5198777/140380547', '5201477/140380547', '5204171/140380547', '5206817/140380547', '5209385/140380547', '5211839/140380547', '5214159/140380547', '5216301/140380547', '5218255/140380547', '5219991/140380547', '5221509/140380547', '5222799/140380547', '5223881/140380547', '5224763/140380547']
['10354383/280765829', '10355647/280765829', '10357217/280765829', '609361/16515637', '10361441/280765829', '10364149/280765829', '609839/16515637', '10370767/280765829', '10374635/280765829', '10378827/280765829', '10383291/280765829', '10387975/280765829', '10392833/280765829', '10397791/280765829', '10402791/280765829', '10407765/280765829', '10412659/280765829', '10417395/280765829', '10421925/280765829', '10426189/280765829', '613537/16515637', '10433701/280765829', '10436875/280765829', '10439633/280765829', '10441975/280765829', '10443923/280765829', '10445513/280765829']
['863213/23397547', '2589917/70192641', '2590267/70192641', '2590694/70192641', '2591212/70192641', '2591821/70192641', '2592527/70192641', '2593321/70192641', '2594204/70192641', '2595160/70192641', '2596183/70192641', '2597255/70192641', '2598371/70192641', '2599507/70192641', '2600657/70192641', '2601797/70192641', '2602921/70192641', '2604005/70192641', '2605043/70192641', '60605/1632387', '2606914/70192641', '869241/23397547', '2608442/70192641', '2609062/70192641', '2609588/70192641', '870007/23397547', '870125/23397547']
['1727021/46795763', '246741/6685109', '5182186/140387289', '5182957/140387289', '5183891/140387289', '740714/20055327', '5186282/140387289', '5187736/140387289', '5189350/140387289', '741587/20055327', '5192989/140387289', '742138/20055327', '5197021/140387289', '59760/1613647', '247678/6685109', '743335/20055327', '1735138/46795763', '179566/4840941', '5209321/140387289', '248148/6685109', '5212751/140387289', '5214232/140387289', '248359/6685109', '179885/4840941', '5217613/140387289', '5218394/140387289', '5219026/140387289']
['107976/2924777', '647911/17548662', '863973/23398216', '2592263/70194648', '2592679/70194648', '2593177/70194648', '864585/23398216', '864805/23398216', '1297573/35097324', '2595949/70194648', '432801/11699108', '2597711/70194648', '1299325/35097324', '2599613/70194648', '2600581/70194648', '650387/17548662', '2602493/70194648', '867803/23398216', '1302139/35097324', '2605093/70194648', '2605837/70194648', '2606509/70194648', '2607097/70194648', '869201/23398216', '2608025/70194648', '2608373/70194648', '2608651/70194648']
['10368731/280781969', '10369511/280781969', '10370497/280781969', '10371727/280781969', '10373231/280781969', '10375029/280781969', '798241/21598613', '10379535/280781969', '10382213/280781969', '10385149/280781969', '10388303/280781969', '10391625/280781969', '10395085/280781969', '10398627/280781969', '800169/21598613', '10405753/280781969', '10409237/280781969', '10412599/280781969', '801215/21598613', '10418775/280781969', '10421499/280781969', '10423943/280781969', '10426083/280781969', '196753/5297773', '10429433/280781969', '10430677/280781969', '10431673/280781969']
['5185883/140392673', '5186223/140392673', '5186659/140392673', '5187201/140392673', '5187873/140392673', '5188675/140392673', '5189623/140392673', '5190705/140392673', '5191921/140392673', '5193251/140392673', '5194691/140392673', '5196203/140392673', '5197785/140392673', '5199401/140392673', '5201035/140392673', '5202657/140392673', '5204251/140392673', '5205781/140392673', '5207239/140392673', '5208589/140392673', '5209825/140392673', '5210925/140392673', '5211889/140392673', '5212703/140392673', '5213383/140392673', '5213931/140392673', '5214371/140392673']
['5187169/140394092', '5187471/140394092', '2593929/70197046', '1297086/35098523', '5188945/140394092', '5189671/140394092', '5190527/140394092', '1297878/35098523', '5192619/140394092', '1298459/35098523', '1298788/35098523', '2598271/70197046', '5197991/140394092', '5199479/140394092', '5200977/140394092', '2601235/70197046', '2601965/70197046', '1301334/35098523', '1301667/35098523', '5207903/140394092', '1302257/35098523', '5210029/140394092', '5210899/140394092', '5211635/140394092', '5212243/140394092', '2606367/70197046', '1303281/35098523']
