['0', '46923/14370121', '93861/14370121', '140837/14370121', '187867/14370121', '234967/14370121', '282159/14370121', '329461/14370121', '376890/14370121', '424462/14370121', '472227/14370121', '520157/14370121', '568316/14370121', '616709/14370121', '665364/14370121', '714312/14370121', '763577/14370121', '813193/14370121', '863190/14370121', '913608/14370121', '964483/14370121', '1015863/14370121', '1067797/14370121', '1120338/14370121', '1173560/14370121']
['32191/804807', '32191/804807', '32191/804807', '32191/804807', '32191/804807', '1352023/33801894', '50075/1251922', '225338/5633649', '1352033/33801894', '1352041/33801894', '96575/2414421', '676030/16900947', '676036/16900947', '676042/16900947', '676048/16900947', '3577/89423', '150235/3755766', '1352123/33801894', '676064/16900947', '1352131/33801894', '50079/1251922', '96581/2414421', '96581/2414421', '96581/2414421', '96581/2414421']
['1352033/33801905', '1352033/33801905', '1352033/33801905', '1352033/33801905', '1352033/33801905', '1352033/33801905', '270407/6760381', '1352037/33801905', '1352041/33801905', '1352047/33801905', '270411/6760381', '1352063/33801905', '1352073/33801905', '1352083/33801905', '1352093/33801905', '1352101/33801905', '1352109/33801905', '270423/6760381', '1352119/33801905', '1352121/33801905', '1352123/33801905', '1352123/33801905', '1352123/33801905', '1352123/33801905', '1352123/33801905']
['2704081/67603825', '2704081/67603825', '2704081/67603825', '2704081/67603825', '2704081/67603825', '2704081/67603825', '2704083/67603825', '2704087/67603825', '2704093/67603825', '2704103/67603825', '2704117/67603825', '2704131/67603825', '2704147/67603825', '540833/13520765', '2704181/67603825', '540839/13520765', '2704209/67603825', '2704219/67603825', '108169/2704153', '2704229/67603825', '2704231/67603825', '2704231/67603825', '2704231/67603825', '2704231/67603825', '2704231/67603825']
['84503/2112620', '84503/2112620', '84503/2112620', '84503/2112620', '84503/2112620', '84503/2112620', '84503/2112620', '135205/3380192', '338013/8450480', '169007/4225240', '676031/16900960', '338017/8450480', '676037/16900960', '676041/16900960', '169011/4225240', '676047/16900960', '67605/1690096', '169013/4225240', '9261/231520', '338027/8450480', '338027/8450480', '338027/8450480', '338027/8450480', '338027/8450480', '338027/8450480']
['128767/3219231', '128767/3219231', '128767/3219231', '128767/3219231', '128767/3219231', '128767/3219231', '128767/3219231', '2704109/67603851', '300457/7511539', '901373/22534617', '2704129/67603851', '2704139/67603851', '42923/1073077', '386309/9657693', '901391/22534617', '2704183/67603851', '2704193/67603851', '2704199/67603851', '300467/7511539', '386315/9657693', '386315/9657693', '386315/9657693', '386315/9657693', '386315/9657693', '386315/9657693']
['71161/1779049', '71161/1779049', '71161/1779049', '71161/1779049', '71161/1779049', '71161/1779049', '71161/1779049', '71161/1779049', '1352061/33801931', '1352063/33801931', '1352067/33801931', '1352071/33801931', '1352075/33801931', '1352081/33801931', '1352085/33801931', '1352089/33801931', '1352093/33801931', '1352095/33801931', '71163/1779049', '71163/1779049', '71163/1779049', '71163/1779049', '71163/1779049', '71163/1779049', '71163/1779049']
['901375/22534623', '901375/22534623', '901375/22534623', '901375/22534623', '901375/22534623', '901375/22534623', '901375/22534623', '901375/22534623', '2704127/67603869', '100153/2503847', '901379/22534623', '2704145/67603869', '2704151/67603869', '901387/22534623', '300463/7511541', '2704175/67603869', '2704181/67603869', '100155/2503847', '2704187/67603869', '2704187/67603869', '2704187/67603869', '2704187/67603869', '2704187/67603869', '2704187/67603869', '2704187/67603869']
['676033/16900969', '676033/16900969', '676033/16900969', '676033/16900969', '676033/16900969', '676033/16900969', '676033/16900969', '676033/16900969', '676033/16900969', '676034/16900969', '676035/16900969', '676037/16900969', '676038/16900969', '676040/16900969', '676041/16900969', '676043/16900969', '676044/16900969', '676045/16900969', '676045/16900969', '676045/16900969', '676045/16900969', '676045/16900969', '676045/16900969', '676045/16900969', '676045/16900969']
['47441/1186033', '47441/1186033', '47441/1186033', '47441/1186033', '47441/1186033', '47441/1186033', '47441/1186033', '47441/1186033', '47441/1186033', '2704139/67603881', '901381/22534627', '901383/22534627', '2704153/67603881', '2704159/67603881', '2704163/67603881', '2704169/67603881', '901391/22534627', '142325/3558099', '142325/3558099', '142325/3558099', '142325/3558099', '142325/3558099', '142325/3558099', '142325/3558099', '142325/3558099']
['193153/4828849', '193153/4828849', '193153/4828849', '193153/4828849', '193153/4828849', '193153/4828849', '193153/4828849', '193153/4828849', '193153/4828849', '193153/4828849', '1352073/33801943', '1352075/33801943', '1352077/33801943', '1352079/33801943', '1352081/33801943', '1352083/33801943', '193155/4828849', '193155/4828849', '193155/4828849', '193155/4828849', '193155/4828849', '193155/4828849', '193155/4828849', '193155/4828849', '193155/4828849']
['2704145/67603889', '2704145/67603889', '2704145/67603889', '2704145/67603889', '2704145/67603889', '2704145/67603889', '2704145/67603889', '2704145/67603889', '2704145/67603889', '2704145/67603889', '2704147/67603889', '2704151/67603889', '2704155/67603889', '2704157/67603889', '2704161/67603889', '2704165/67603889', '2704167/67603889', '2704167/67603889', '2704167/67603889', '2704167/67603889', '2704167/67603889', '2704167/67603889', '2704167/67603889', '2704167/67603889', '2704167/67603889']
['676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676037/16900973', '676038/16900973', '676039/16900973', '676039/16900973', '676040/16900973', '676041/16900973', '676041/16900973', '676041/16900973', '676041/16900973', '676041/16900973', '676041/16900973', '676041/16900973', '676041/16900973', '676041/16900973', '676041/16900973']
['1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352075/33801947', '1352076/33801947', '1352078/33801947', '1352078/33801947', '1352080/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947', '1352081/33801947']
['112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '112673/2816829', '676039/16900974', '676039/16900974', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487', '338020/8450487']
['2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704153/67603897', '2704155/67603897', '2704157/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897', '2704159/67603897']
['1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352077/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949', '1352079/33801949']
['901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '901385/22534633', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899', '2704157/67603899']
['1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25', '1/25']
