['0', '13309/3443610', '337/43590', '13317/1147870', '53299/3443610', '66671/3443610', '26693/1147870', '93527/3443610', '107023/3443610', '120563/3443610', '26837/688722', '147863/3443610', '161629/3443610', '175483/3443610', '12629/229574', '67833/1147870', '43537/688722', '232007/3443610', '246479/3443610', '261121/3443610', '55189/688722', '290981/3443610', '306253/3443610']
['232525/5405471', '232611/5405471', '698167/16216413', '232863/5405471', '699107/16216413', '699721/16216413', '700423/16216413', '233735/5405471', '234019/5405471', '702965/16216413', '234635/5405471', '234961/5405471', '705859/16216413', '706841/16216413', '707795/16216413', '236239/5405471', '709583/16216413', '710383/16216413', '711103/16216413', '711731/16216413', '712259/16216413', '712687/16216413', '237675/5405471']
['349193/8108667', '349303/8108667', '116483/2702889', '349633/8108667', '116621/2702889', '350135/8108667', '38939/900963', '350801/8108667', '351187/8108667', '117199/2702889', '352025/8108667', '39163/900963', '352913/8108667', '353357/8108667', '353791/8108667', '16867/386127', '50657/1158381', '118319/2702889', '118427/2702889', '355559/8108667', '355793/8108667', '355979/8108667', '118709/2702889']
['174767/4054525', '349631/8109050', '174879/4054525', '174961/4054525', '175063/4054525', '350371/8109050', '70131/1621810', '350973/8109050', '175661/4054525', '351697/8109050', '176043/4054525', '35249/810905', '352897/8109050', '353303/8109050', '353697/8109050', '354077/8109050', '177216/4054525', '354757/8109050', '177524/4054525', '177649/4054525', '71101/1621810', '355671/8109050', '7116/162181']
['349875/8109433', '349959/8109433', '350067/8109433', '350211/8109433', '350389/8109433', '350607/8109433', '350859/8109433', '351145/8109433', '351457/8109433', '351797/8109433', '352147/8109433', '352513/8109433', '352881/8109433', '353249/8109433', '353603/8109433', '353947/8109433', '354265/8109433', '354557/8109433', '354815/8109433', '355037/8109433', '355217/8109433', '355363/8109433', '355473/8109433']
['350159/8109747', '350231/8109747', '350327/8109747', '350452/8109747', '5233/121041', '116935/2703249', '351032/8109747', '351289/8109747', '117191/2703249', '351880/8109747', '117400/2703249', '352531/8109747', '352868/8109747', '353201/8109747', '353525/8109747', '13105/300361', '354124/8109747', '118129/2703249', '354619/8109747', '39424/901083', '354977/8109747', '13152/300361', '355201/8109747']
['350443/8110061', '350503/8110061', '350587/8110061', '350693/8110061', '350833/8110061', '351003/8110061', '351205/8110061', '351433/8110061', '351689/8110061', '351963/8110061', '352253/8110061', '352549/8110061', '352855/8110061', '353153/8110061', '353447/8110061', '353723/8110061', '353983/8110061', '354217/8110061', '354423/8110061', '354595/8110061', '354737/8110061', '354845/8110061', '354929/8110061']
['701357/16220637', '701461/16220637', '701605/16220637', '77977/1802293', '702037/16220637', '702341/16220637', '702701/16220637', '234371/5406879', '703571/16220637', '704069/16220637', '704593/16220637', '705131/16220637', '705685/16220637', '235409/5406879', '706757/16220637', '235753/5406879', '707725/16220637', '78683/1802293', '236171/5406879', '708821/16220637', '709069/16220637', '709259/16220637', '709403/16220637']
['175457/4055288', '175479/4055288', '175509/4055288', '87775/2027644', '87801/2027644', '175669/4055288', '43937/1013822', '21980/506911', '175941/4055288', '176053/4055288', '88085/2027644', '176291/4055288', '176415/4055288', '176537/4055288', '176655/4055288', '22096/506911', '176871/4055288', '176965/4055288', '177045/4055288', '177113/4055288', '88583/2027644', '177207/4055288', '177237/4055288']
['234071/5407189', '702287/16221567', '702391/16221567', '702533/16221567', '234239/5407189', '234317/5407189', '703235/16221567', '234521/5407189', '703927/16221567', '704329/16221567', '704755/16221567', '235063/5407189', '705641/16221567', '706079/16221567', '706507/16221567', '706913/16221567', '707285/16221567', '235873/5407189', '235969/5407189', '708145/16221567', '708331/16221567', '708473/16221567', '708577/16221567']
['351299/8110991', '351329/8110991', '351373/8110991', '351433/8110991', '351513/8110991', '351613/8110991', '351739/8110991', '50269/1158713', '352045/8110991', '352223/8110991', '50345/1158713', '352607/8110991', '352811/8110991', '353005/8110991', '353197/8110991', '353377/8110991', '353543/8110991', '50527/1158713', '353817/8110991', '353919/8110991', '353999/8110991', '354059/8110991', '354103/8110991']
['50208/1158737', '351482/8111159', '50217/1158737', '351571/8111159', '351640/8111159', '50247/1158737', '351839/8111159', '20704/477127', '352113/8111159', '352273/8111159', '352445/8111159', '352619/8111159', '20753/477127', '352977/8111159', '353149/8111159', '2969/68161', '353459/8111159', '353590/8111159', '20806/477127', '353792/8111159', '353861/8111159', '50559/1158737', '353950/8111159']
['351613/8111327', '351635/8111327', '351665/8111327', '351709/8111327', '351767/8111327', '351845/8111327', '50277/1158761', '352053/8111327', '352181/8111327', '352323/8111327', '352475/8111327', '352631/8111327', '352791/8111327', '352949/8111327', '50443/1158761', '353245/8111327', '353375/8111327', '353491/8111327', '353587/8111327', '353665/8111327', '353723/8111327', '353767/8111327', '353797/8111327']
['351739/8111460', '1621/37380', '117261/2703820', '359/8277', '351871/8111460', '175969/4055730', '176011/4055730', '58687/1351910', '352237/8111460', '352363/8111460', '5875/135191', '17632/405573', '88196/2027865', '70585/1622292', '176531/4055730', '11773/270382', '3799/87220', '16829/386260', '176747/4055730', '353561/8111460', '12629/289695', '117883/2703820', '10105/231756']
['351865/8111593', '351879/8111593', '351901/8111593', '351931/8111593', '351975/8111593', '352031/8111593', '352105/8111593', '50313/1158799', '352293/8111593', '352403/8111593', '352525/8111593', '352649/8111593', '352777/8111593', '352901/8111593', '353023/8111593', '353135/8111593', '353239/8111593', '353327/8111593', '353401/8111593', '353457/8111593', '353501/8111593', '353531/8111593', '353553/8111593']
['351966/8111699', '351978/8111699', '351996/8111699', '352022/8111699', '352059/8111699', '352108/8111699', '352172/8111699', '352249/8111699', '352338/8111699', '352437/8111699', '352545/8111699', '352657/8111699', '352770/8111699', '352882/8111699', '352990/8111699', '353091/8111699', '353182/8111699', '353260/8111699', '353324/8111699', '353373/8111699', '353410/8111699', '353436/8111699', '353454/8111699']
['352067/8111805', '117359/2703935', '352091/8111805', '117371/2703935', '117381/2703935', '23479/540787', '117413/2703935', '352307/8111805', '117461/2703935', '352471/8111805', '70513/1622361', '1383/31811', '352763/8111805', '117621/2703935', '352957/8111805', '353047/8111805', '70625/1622361', '117731/2703935', '117749/2703935', '117763/2703935', '117773/2703935', '353341/8111805', '23557/540787']
['704293/16223775', '704309/16223775', '704333/16223775', '704369/16223775', '234807/5407925', '234831/5407925', '704587/16223775', '140941/3244755', '234947/5407925', '140999/3244755', '705163/16223775', '705341/16223775', '705517/16223775', '235231/5407925', '705863/16223775', '706021/16223775', '706159/16223775', '706277/16223775', '235457/5407925', '235481/5407925', '141299/3244755', '706531/16223775', '141311/3244755']
['176113/4055985', '176116/4055985', '19569/450665', '176128/4055985', '19571/450665', '58718/1351995', '176174/4055985', '58733/1351995', '19581/450665', '58754/1351995', '176299/4055985', '176338/4055985', '176377/4055985', '11761/270399', '176453/4055985', '58829/1351995', '19613/450665', '176542/4055985', '19618/450665', '58859/1351995', '176588/4055985', '11773/270399', '35320/811197']
['234859/5408023', '704587/16224069', '704603/16224069', '704627/16224069', '704663/16224069', '234905/5408023', '704783/16224069', '13821/318119', '704975/16224069', '235031/5408023', '705223/16224069', '705361/16224069', '705499/16224069', '705635/16224069', '705769/16224069', '705889/16224069', '13843/318119', '706081/16224069', '235383/5408023', '706201/16224069', '706237/16224069', '706261/16224069', '706277/16224069']
['352351/8112099', '352355/8112099', '352361/8112099', '117457/2704033', '352385/8112099', '117469/2704033', '352435/8112099', '117491/2704033', '352517/8112099', '117523/2704033', '352625/8112099', '352685/8112099', '352745/8112099', '352805/8112099', '117621/2704033', '352915/8112099', '117653/2704033', '352997/8112099', '117675/2704033', '353047/8112099', '117687/2704033', '353071/8112099', '353077/8112099']
['352399/8112148', '176201/4056074', '32037/737468', '352415/8112148', '352427/8112148', '352445/8112148', '176235/4056074', '176251/4056074', '352541/8112148', '176293/4056074', '88159/2028037', '88172/2028037', '176371/4056074', '352795/8112148', '533/12254', '32081/737468', '176465/4056074', '176481/4056074', '352987/8112148', '353005/8112148', '353017/8112148', '353025/8112148', '176515/4056074']
['352447/8112197', '352449/8112197', '352453/8112197', '352459/8112197', '352469/8112197', '352483/8112197', '352505/8112197', '352531/8112197', '352565/8112197', '352603/8112197', '352647/8112197', '352691/8112197', '352739/8112197', '352785/8112197', '352829/8112197', '352867/8112197', '352901/8112197', '352927/8112197', '352949/8112197', '352963/8112197', '352973/8112197', '352979/8112197', '352983/8112197']
['352484/8112235', '352486/8112235', '352489/8112235', '352494/8112235', '352502/8112235', '352514/8112235', '11372/261685', '70511/1622447', '352584/8112235', '352617/8112235', '70531/1622447', '70539/1622447', '352736/8112235', '352777/8112235', '70563/1622447', '352848/8112235', '352877/8112235', '70580/1622447', '352918/8112235', '70586/1622447', '352938/8112235', '352943/8112235', '1342/30845']
['9039/208007', '352523/8112273', '352525/8112273', '352529/8112273', '352535/8112273', '117515/2704091', '352559/8112273', '352579/8112273', '352603/8112273', '352631/8112273', '352663/8112273', '352699/8112273', '352733/8112273', '352769/8112273', '352801/8112273', '352829/8112273', '352853/8112273', '352873/8112273', '117629/2704091', '352897/8112273', '352903/8112273', '352907/8112273', '352909/8112273']
['352549/8112301', '352550/8112301', '352552/8112301', '352555/8112301', '352560/8112301', '352568/8112301', '352580/8112301', '352597/8112301', '352618/8112301', '352642/8112301', '352670/8112301', '352701/8112301', '352731/8112301', '352762/8112301', '352790/8112301', '352814/8112301', '352835/8112301', '352852/8112301', '352864/8112301', '352872/8112301', '352877/8112301', '352880/8112301', '352882/8112301']
['352577/8112329', '352577/8112329', '352579/8112329', '352581/8112329', '352585/8112329', '352591/8112329', '352601/8112329', '352615/8112329', '352633/8112329', '352653/8112329', '352677/8112329', '352703/8112329', '352729/8112329', '352755/8112329', '352779/8112329', '352799/8112329', '352817/8112329', '352831/8112329', '352841/8112329', '352847/8112329', '352851/8112329', '352853/8112329', '352855/8112329']
['176299/4056175', '176299/4056175', '352599/8112350', '352601/8112350', '176302/4056175', '352609/8112350', '352617/8112350', '352629/8112350', '176322/4056175', '176331/4056175', '176341/4056175', '70541/1622470', '352727/8112350', '7055/162247', '35277/811235', '176394/4056175', '352803/8112350', '70563/1622470', '352823/8112350', '176414/4056175', '352831/8112350', '352833/8112350', '176417/4056175']
['352619/8112371', '352619/8112371', '352619/8112371', '352621/8112371', '352623/8112371', '352627/8112371', '352633/8112371', '352643/8112371', '352655/8112371', '352671/8112371', '352687/8112371', '352707/8112371', '352725/8112371', '352745/8112371', '352761/8112371', '352777/8112371', '352789/8112371', '352799/8112371', '352805/8112371', '352809/8112371', '352811/8112371', '352813/8112371', '352813/8112371']
['176317/4056193', '176317/4056193', '176317/4056193', '352635/8112386', '352637/8112386', '176320/4056193', '352645/8112386', '352653/8112386', '176332/4056193', '352677/8112386', '352691/8112386', '176354/4056193', '176362/4056193', '352741/8112386', '352755/8112386', '176384/4056193', '352779/8112386', '352787/8112386', '176396/4056193', '352795/8112386', '352797/8112386', '176399/4056193', '176399/4056193']
['32059/737491', '32059/737491', '32059/737491', '32059/737491', '352651/8112401', '352653/8112401', '352657/8112401', '352663/8112401', '352673/8112401', '352683/8112401', '352695/8112401', '352709/8112401', '352723/8112401', '32067/737491', '352749/8112401', '32069/737491', '352769/8112401', '352775/8112401', '352779/8112401', '32071/737491', '352783/8112401', '352783/8112401', '352783/8112401']
['1145/26339', '1145/26339', '1145/26339', '1145/26339', '352661/8112412', '352663/8112412', '176333/4056206', '32061/737492', '352679/8112412', '12596/289729', '176349/4056206', '176355/4056206', '176361/4056206', '176367/4056206', '12598/289729', '352753/8112412', '352761/8112412', '176383/4056206', '352769/8112412', '352771/8112412', '12599/289729', '12599/289729', '12599/289729']
['10687/245831', '10687/245831', '10687/245831', '10687/245831', '10687/245831', '352673/8112423', '352675/8112423', '352679/8112423', '352685/8112423', '32063/737493', '117567/2704141', '352711/8112423', '352721/8112423', '117577/2704141', '352739/8112423', '352747/8112423', '352753/8112423', '352757/8112423', '32069/737493', '117587/2704141', '117587/2704141', '117587/2704141', '117587/2704141']
['235119/5408287', '235119/5408287', '235119/5408287', '235119/5408287', '235119/5408287', '1759/40461', '235121/5408287', '235123/5408287', '705379/16224861', '235131/5408287', '705407/16224861', '235141/5408287', '235147/5408287', '705457/16224861', '235157/5408287', '705485/16224861', '235165/5408287', '235167/5408287', '705505/16224861', '235169/5408287', '235169/5408287', '235169/5408287', '235169/5408287']
['58781/1352073', '58781/1352073', '58781/1352073', '58781/1352073', '58781/1352073', '58781/1352073', '176344/4056219', '176345/4056219', '176347/4056219', '176350/4056219', '176353/4056219', '176356/4056219', '176360/4056219', '176363/4056219', '176366/4056219', '176369/4056219', '176371/4056219', '176372/4056219', '19597/450691', '19597/450691', '19597/450691', '19597/450691', '19597/450691']
['100769/2317841', '100769/2317841', '100769/2317841', '100769/2317841', '100769/2317841', '100769/2317841', '705385/16224887', '705389/16224887', '705395/16224887', '705405/16224887', '705415/16224887', '100775/2317841', '100777/2317841', '705449/16224887', '705459/16224887', '705469/16224887', '705475/16224887', '705479/16224887', '100783/2317841', '100783/2317841', '100783/2317841', '100783/2317841', '100783/2317841']
['18563/426971', '18563/426971', '18563/426971', '18563/426971', '18563/426971', '18563/426971', '18563/426971', '352699/8112449', '352701/8112449', '352705/8112449', '352709/8112449', '352713/8112449', '352719/8112449', '352723/8112449', '352727/8112449', '352731/8112449', '352733/8112449', '18565/426971', '18565/426971', '18565/426971', '18565/426971', '18565/426971', '18565/426971']
['705401/16224905', '705401/16224905', '705401/16224905', '705401/16224905', '705401/16224905', '705401/16224905', '705401/16224905', '705403/16224905', '705407/16224905', '705413/16224905', '705421/16224905', '705427/16224905', '705437/16224905', '705443/16224905', '705451/16224905', '705457/16224905', '705461/16224905', '705463/16224905', '705463/16224905', '705463/16224905', '705463/16224905', '705463/16224905', '705463/16224905']
['1336/30729', '1336/30729', '1336/30729', '1336/30729', '1336/30729', '1336/30729', '1336/30729', '1336/30729', '176353/4056228', '88177/2028114', '44089/1014057', '176357/4056228', '176359/4056228', '44090/1014057', '88181/2028114', '16033/368748', '4899/112673', '4899/112673', '4899/112673', '4899/112673', '4899/112673', '4899/112673', '4899/112673']
['37127/853943', '37127/853943', '37127/853943', '37127/853943', '37127/853943', '37127/853943', '37127/853943', '37127/853943', '705415/16224917', '705419/16224917', '705425/16224917', '705429/16224917', '705435/16224917', '705439/16224917', '705445/16224917', '705449/16224917', '37129/853943', '37129/853943', '37129/853943', '37129/853943', '37129/853943', '37129/853943', '37129/853943']
['50387/1158923', '50387/1158923', '50387/1158923', '50387/1158923', '50387/1158923', '50387/1158923', '50387/1158923', '50387/1158923', '50387/1158923', '352711/8112461', '352713/8112461', '352715/8112461', '352717/8112461', '352719/8112461', '352721/8112461', '50389/1158923', '50389/1158923', '50389/1158923', '50389/1158923', '50389/1158923', '50389/1158923', '50389/1158923', '50389/1158923']
['705421/16224925', '705421/16224925', '705421/16224925', '705421/16224925', '705421/16224925', '705421/16224925', '705421/16224925', '705421/16224925', '705421/16224925', '705423/16224925', '705427/16224925', '705431/16224925', '705433/16224925', '705437/16224925', '705441/16224925', '705443/16224925', '705443/16224925', '705443/16224925', '705443/16224925', '705443/16224925', '705443/16224925', '705443/16224925', '705443/16224925']
['44089/1014058', '44089/1014058', '44089/1014058', '44089/1014058', '44089/1014058', '44089/1014058', '44089/1014058', '44089/1014058', '44089/1014058', '44089/1014058', '176357/4056232', '88179/2028116', '88179/2028116', '176359/4056232', '22045/507029', '22045/507029', '22045/507029', '22045/507029', '22045/507029', '22045/507029', '22045/507029', '22045/507029', '22045/507029']
['117571/2704155', '117571/2704155', '117571/2704155', '117571/2704155', '117571/2704155', '117571/2704155', '117571/2704155', '117571/2704155', '117571/2704155', '117571/2704155', '352714/8112465', '117572/2704155', '117572/2704155', '352718/8112465', '39191/901385', '39191/901385', '39191/901385', '39191/901385', '39191/901385', '39191/901385', '39191/901385', '39191/901385', '39191/901385']
['176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176357/4056233', '176358/4056233', '176358/4056233', '176359/4056233', '176359/4056233', '176359/4056233', '176359/4056233', '176359/4056233', '176359/4056233', '176359/4056233', '176359/4056233', '176359/4056233', '176359/4056233']
['235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '235143/5408311', '705431/16224933', '705433/16224933', '235145/5408311', '235145/5408311', '235145/5408311', '235145/5408311', '235145/5408311', '235145/5408311', '235145/5408311', '235145/5408311', '235145/5408311', '235145/5408311']
['32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '32065/737497', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467', '352717/8112467']
['705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705431/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935', '705433/16224935']
['1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23', '1/23']
