['0', '15796439/8471001506', '31595477/8471001506', '4309069/770091046', '63211897/8471001506', '79034519/8471001506', '94870319/8471001506', '110721967/8471001506', '126592175/8471001506', '142483719/8471001506', '158399389/8471001506', '174342015/8471001506', '190314585/8471001506', '206319875/8471001506', '222361171/8471001506', '238441403/8471001506', '254563869/8471001506', '270731817/8471001506', '286948697/8471001506', '303218013/8471001506', '319543421/8471001506', '335928741/8471001506', '352377931/8471001506', '368895137/8471001506', '385484709/8471001506', '36559201/770091046', '418899449/8471001506', '435734543/8471001506', '452661897/8471001506', '469687265/8471001506', '486816863/8471001506', '504057337/8471001506', '521415897/8471001506']
['499656709/19658893947', '24051389/936137807', '170208183/6552964649', '172092531/6552964649', '522025033/19658893947', '175951813/6552964649', '16174509/595724059', '179908779/6552964649', '545750299/19658893947', '183941243/6552964649', '557940349/19658893947', '188031491/6552964649', '17281237/595724059', '27452121/936137807', '582730865/19658893947', '588985753/19658893947', '198418141/6552964649', '200511105/6552964649', '607817767/19658893947', '614104037/19658893947', '206795873/6552964649', '89523469/2808413421', '90418475/2808413421', '639177907/19658893947', '645404717/19658893947', '651603985/19658893947', '31322349/936137807', '663893591/19658893947', '669968645/19658893947', '96569315/2808413421', '227310807/6552964649', '62527049/1787172177', '33026923/936137807']
['125614873/4916244731', '126928016/4916244731', '128272186/4916244731', '129643460/4916244731', '131038679/4916244731', '132454829/4916244731', '133889558/4916244731', '135340495/4916244731', '136805832/4916244731', '138283660/4916244731', '139772532/4916244731', '141270844/4916244731', '142777412/4916244731', '144290832/4916244731', '145810039/4916244731', '147333843/4916244731', '148861180/4916244731', '150390952/4916244731', '151922152/4916244731', '153453635/4916244731', '154984408/4916244731', '156513229/4916244731', '158039044/4916244731', '159560452/4916244731', '161076259/4916244731', '162584824/4916244731', '164084677/4916244731', '165573846/4916244731', '167050421/4916244731', '168511891/4916244731', '169955690/4916244731', '171378447/4916244731', '172776534/4916244731']
['505178769/19670757157', '510267851/19670757157', '515481299/19670757157', '520804203/19670757157', '526223437/19670757157', '531727543/19670757157', '537306497/19670757157', '542951403/19670757157', '548654331/19670757157', '554408185/19670757157', '560206505/19670757157', '566043371/19670757157', '571913341/19670757157', '577811339/19670757157', '583732379/19670757157', '589672177/19670757157', '595625851/19670757157', '601589399/19670757157', '607558177/19670757157', '613528057/19670757157', '619494357/19670757157', '625452605/19670757157', '631397883/19670757157', '637325071/19670757157', '643228661/19670757157', '649102617/19670757157', '654940307/19670757157', '660734365/19670757157', '666476445/19670757157', '672157035/19670757157', '677765179/19670757157', '683288029/19670757157', '688710489/19670757157']
['126974489/4919133780', '128205887/4919133780', '43156147/1639711260', '130758619/4919133780', '44024339/1639711260', '133408921/4919133780', '4991247/182190140', '9075679/327942252', '137521313/4919133780', '138920413/4919133780', '70165351/2459566890', '9450055/327942252', '143179243/4919133780', '28922965/983826756', '811423/27328521', '73751119/2459566890', '148951741/4919133780', '25067291/819855630', '75928469/2459566890', '25551733/819855630', '77381389/2459566890', '13017757/409927815', '15765991/491913378', '17678011/546570420', '13378174/409927815', '161966503/4919133780', '4538486/136642605', '18310373/546570420', '55395941/1639711260', '41891662/1229783445', '168926921/4919133780', '1547869/44719398', '57192911/1639711260']
['510531553/19682014763', '515299553/19682014763', '520192739/19682014763', '525196583/19682014763', '530298187/19682014763', '535486181/19682014763', '540750489/19682014763', '546082201/19682014763', '551473269/19682014763', '556916461/19682014763', '562405177/19682014763', '567933349/19682014763', '573495311/19682014763', '579085867/19682014763', '584699835/19682014763', '590332665/19682014763', '595979433/19682014763', '601635749/19682014763', '607296945/19682014763', '612958569/19682014763', '618615803/19682014763', '624263929/19682014763', '629897841/19682014763', '635512223/19682014763', '641101313/19682014763', '646658919/19682014763', '652178189/19682014763', '657651561/19682014763', '663070533/19682014763', '668425475/19682014763', '673705309/19682014763', '678897235/19682014763', '683986317/19682014763']
['256582555/9843747143', '258887759/9843747143', '261255837/9843747143', '263679325/9843747143', '266152133/9843747143', '268668319/9843747143', '271223131/9843747143', '273811811/9843747143', '276430625/9843747143', '279075617/9843747143', '281743755/9843747143', '284431683/9843747143', '287136811/9843747143', '289856205/9843747143', '292587545/9843747143', '295328181/9843747143', '2951247/97462843', '300828255/9843747143', '303583071/9843747143', '306337777/9843747143', '309090255/9843747143', '311837771/9843747143', '314578033/9843747143', '317308039/9843747143', '320025153/9843747143', '322725931/9843747143', '325407215/9843747143', '328064865/9843747143', '3274207/97462843', '333292199/9843747143', '335851487/9843747143', '338366075/9843747143', '340828871/9843747143']
['128927623/4923170876', '32510620/1230792719', '262377377/9846341752', '66181365/2461585438', '66780723/2461585438', '269564057/9846341752', '136021975/4923170876', '34319761/1230792719', '277102439/9846341752', '139836667/4923170876', '70566853/2461585438', '284881577/9846341752', '143756467/4923170876', '36269849/1230792719', '292816503/9846341752', '295483671/9846341752', '149078911/4923170876', '37604571/1230792719', '37939701/1230792719', '38274815/1230792719', '154438439/4923170876', '311550203/9846341752', '157107927/4923170876', '158435543/4923170876', '319512939/9846341752', '322138215/9846341752', '324743423/9846341752', '163662353/4923170876', '329877755/9846341752', '41549714/1230792719', '334879041/9846341752', '337315365/9846341752', '339699365/9846341752']
['259127929/9848936337', '87094051/3282978779', '263498909/9848936337', '88590529/3282978779', '268093643/9848936337', '270459787/9848936337', '272864761/9848936337', '91768119/3282978779', '92591415/3282978779', '93423681/3282978779', '94263687/3282978779', '285331465/9848936337', '95963017/3282978779', '290461373/9848936337', '97681819/3282978779', '295639157/9848936337', '298239695/9848936337', '100281627/3282978779', '101150715/3282978779', '102019755/3282978779', '102887835/3282978779', '103754213/3282978779', '313853681/9848936337', '316434139/9848936337', '106333577/3282978779', '321550507/9848936337', '324079639/9848936337', '326584555/9848936337', '329060611/9848936337', '331503233/9848936337', '111302201/3282978779', '112088221/3282978779', '338569867/9848936337']
['520711729/19702780391', '524875299/19702780391', '75594839/2814682913', '533563959/19702780391', '538063221/19702780391', '542650609/19702780391', '547316225/19702780391', '552051139/19702780391', '556847237/19702780391', '561697163/19702780391', '11563145/402097559', '81647395/2814682913', '576504247/19702780391', '581506057/19702780391', '18920379/635573561', '591576361/19702780391', '596634935/19702780391', '19409753/635573561', '606774023/19702780391', '611844857/19702780391', '616909891/19702780391', '20063355/635573561', '627001765/19702780391', '632017527/19702780391', '637005233/19702780391', '641958365/19702780391', '646869787/19702780391', '651731725/19702780391', '656535473/19702780391', '661271279/19702780391', '665928131/19702780391', '670493443/19702780391', '674952871/19702780391']
['261583797/9853844045', '15505479/579637885', '265664961/9853844045', '267792369/9853844045', '53993915/1970768809', '272190819/9853844045', '274451461/9853844045', '276746779/9853844045', '279072989/9853844045', '281426117/9853844045', '283803041/9853844045', '286200297/9853844045', '288615193/9853844045', '291044681/9853844045', '293486291/9853844045', '295937203/9853844045', '298395239/9853844045', '300857461/9853844045', '303321879/9853844045', '305785593/9853844045', '308246387/9853844045', '18276551/579637885', '313148087/9853844045', '315583391/9853844045', '63600901/1970768809', '320407861/9853844045', '322790151/9853844045', '325147173/9853844045', '65494973/1970768809', '329768049/9853844045', '332021531/9853844045', '334228783/9853844045', '336383007/9853844045']
['131383061/4928080708', '264706361/9856161416', '266708659/9856161416', '268766529/9856161416', '33859252/1232020177', '273025709/9856161416', '275216721/9856161416', '69360657/2464040354', '279699395/9856161416', '281983307/9856161416', '284290963/9856161416', '286619175/9856161416', '72241235/2464040354', '291325469/9856161416', '73424503/2464040354', '148039983/4928080708', '37308610/1232020177', '37607756/1232020177', '303257189/9856161416', '76412907/2464040354', '38505359/1232020177', '310428255/9856161416', '156402515/4928080708', '315170305/9856161416', '317520985/9856161416', '39981721/1232020177', '80541265/2464040354', '324450917/9856161416', '163353497/4928080708', '328928423/9856161416', '331109745/9856161416', '83311195/2464040354', '335326565/9856161416']
['131974223/4929239392', '132909789/4929239392', '66938089/2464619696', '2408399/88022132', '33972307/1232309848', '12448209/448112672', '68995495/2464619696', '903047/32008048', '35040725/1232309848', '2522683/88022132', '71194721/2464619696', '10251359/352088528', '144657343/4929239392', '18225391/616154924', '73477433/2464619696', '37027841/1232309848', '37317815/1232309848', '10745237/352088528', '21656607/704177056', '9547427/308077462', '153919679/4929239392', '38769393/1232309848', '14202817/448112672', '78689305/2464619696', '158518733/4929239392', '79824919/2464619696', '160769985/4929239392', '2102303/64016096', '11640683/352088528', '164044399/4929239392', '41274745/1232309848', '166130389/4929239392', '83567531/2464619696']
['265084901/9860664306', '266890007/9860664306', '89585489/3286888102', '45113018/1643444051', '272649167/9860664306', '274664395/9860664306', '92239663/3286888102', '139404286/4930332153', '140464573/4930332153', '283077011/9860664306', '95082913/3286888102', '287441143/9860664306', '144825592/4930332153', '291876031/9860664306', '98037639/3286888102', '148179580/4930332153', '99537433/3286888102', '300869543/9860664306', '303128599/9860664306', '305386699/9860664306', '51273555/1643444051', '154944883/4930332153', '312129203/9860664306', '52392786/1643444051', '158284582/4930332153', '159381604/4930332153', '160467619/4930332153', '107693767/3286888102', '162598523/4930332153', '163638832/4930332153', '164658881/4930332153', '165655648/4930332153', '111083845/3286888102']
['66555339/2465712457', '66990109/2465712457', '134880289/4931424914', '67903882/2465712457', '136759939/4931424914', '68867048/2465712457', '138727999/4931424914', '69869667/2465712457', '70383123/2465712457', '141806763/4931424914', '142859297/4931424914', '143922117/4931424914', '144993841/4931424914', '146072903/4931424914', '147158051/4931424914', '74123898/2465712457', '149341039/4931424914', '150436225/4931424914', '75766175/2465712457', '152627867/4931424914', '153721651/4931424914', '77406097/2465712457', '77949108/2465712457', '78489053/2465712457', '158050431/4931424914', '6119745/189670189', '160165253/4931424914', '80601985/2465712457', '977274/29707379', '12556405/379340378', '6316107/189670189', '165180907/4931424914', '166116473/4931424914']
['534622953/19729815887', '537975713/19729815887', '541449293/19729815887', '545032015/19729815887', '548712825/19729815887', '552481503/19729815887', '556328713/19729815887', '560245819/19729815887', '564224917/19729815887', '568258667/19729815887', '572340231/19729815887', '576463193/19729815887', '580621493/19729815887', '584809389/19729815887', '589021325/19729815887', '593251811/19729815887', '597495949/19729815887', '601747979/19729815887', '606003325/19729815887', '610256307/19729815887', '614501857/19729815887', '618734431/19729815887', '622948371/19729815887', '627137721/19729815887', '631296199/19729815887', '635417063/19729815887', '639493081/19729815887', '643516365/19729815887', '647478293/19729815887', '651369331/19729815887', '655178929/19729815887', '658895307/19729815887', '662505519/19729815887']
['268401597/9866966059', '270015277/9866966059', '271688715/9866966059', '273416487/9866966059', '275192947/9866966059', '277013311/9866966059', '278872715/9866966059', '280767151/9866966059', '282692425/9866966059', '284645141/9866966059', '286621637/9866966059', '288618959/9866966059', '290633811/9866966059', '292663583/9866966059', '294705223/9866966059', '296756219/9866966059', '298813871/9866966059', '300875529/9866966059', '302938625/9866966059', '305000573/9866966059', '307058555/9866966059', '309110043/9866966059', '311151939/9866966059', '313181509/9866966059', '315195337/9866966059', '317190323/9866966059', '319162575/9866966059', '321108425/9866966059', '323023325/9866966059', '324902801/9866966059', '326741365/9866966059', '328533493/9866966059', '330272573/9866966059']
['10167755/372411379', '541999049/19737803087', '545225609/19737803087', '548559677/19737803087', '551990709/19737803087', '555508853/19737803087', '559104985/19737803087', '10618315/372411379', '566498183/19737803087', '570280173/19737803087', '574109883/19737803087', '577980933/19737803087', '581887219/19737803087', '585823003/19737803087', '589782723/19737803087', '593760779/19737803087', '11278345/372411379', '601751427/19737803087', '605753527/19737803087', '609752885/19737803087', '613744385/19737803087', '617722397/19737803087', '621681243/19737803087', '625614937/19737803087', '629517141/19737803087', '633381143/19737803087', '637199715/19737803087', '640965015/19737803087', '644668529/19737803087', '648300891/19737803087', '651851761/19737803087', '655309779/19737803087', '658662539/19737803087']
['135244709/4935418514', '67995943/2467709257', '136768447/4935418514', '137571595/4935418514', '138398881/4935418514', '10711367/379647578', '140116135/4935418514', '70500886/2467709257', '141902879/4935418514', '71408758/2467709257', '143744123/4935418514', '144680987/4935418514', '72813352/2467709257', '73289855/2467709257', '73769375/2467709257', '74251140/2467709257', '149469207/4935418514', '150437949/4935418514', '11646727/379647578', '76188078/2467709257', '153342915/4935418514', '154306177/4935418514', '77632326/2467709257', '78108357/2467709257', '78580451/2467709257', '79047705/2467709257', '79509285/2467709257', '159928295/4935418514', '80411301/2467709257', '161699045/4935418514', '6252123/189823789', '163388143/4935418514', '164194983/4935418514']
['271487027/9872654439', '272924974/9872654439', '91473618/3290884813', '275969495/9872654439', '92521961/3290884813', '279205286/9872654439', '280883296/9872654439', '94198598/3290884813', '94779656/3290884813', '95369743/3290884813', '287903219/9872654439', '96572590/3290884813', '291549850/9872654439', '293396566/9872654439', '98418389/3290884813', '297122818/9872654439', '298997065/9872654439', '300875002/9872654439', '100918086/3290884813', '101543988/3290884813', '102168520/3290884813', '460945/14757331', '310229054/9872654439', '104024368/3290884813', '313901198/9872654439', '105236659/3290884813', '105831955/3290884813', '319254979/9872654439', '106994375/3290884813', '107558572/3290884813', '324327740/9872654439', '108644569/3290884813', '327487724/9872654439']
['136242318/4937235925', '136933088/4937235925', '137652407/4937235925', '5535916/197489437', '139167002/4937235925', '27991503/987447185', '140767161/4937235925', '141594022/4937235925', '142436089/4937235925', '143291713/4937235925', '144159096/4937235925', '145036783/4937235925', '145923146/4937235925', '146816856/4937235925', '147716417/4937235925', '148620538/4937235925', '149527858/4937235925', '150437053/4937235925', '151346807/4937235925', '152255808/4937235925', '30632529/987447185', '154066028/4937235925', '154964402/4937235925', '31171278/987447185', '156740296/4937235925', '157614567/4937235925', '31695459/987447185', '159326684/4937235925', '160160523/4937235925', '160976671/4937235925', '161772542/4937235925', '162545564/4937235925', '163292741/4937235925']
['91145464/3292058675', '18317633/658411735', '276149012/9876176025', '277585141/9876176025', '18604542/658411735', '3741246/131682347', '282156854/9876176025', '283754348/9876176025', '285382183/9876176025', '287036863/9876176025', '288715064/9876176025', '96804549/3292058675', '97376537/3292058675', '293860072/9876176025', '98534094/3292058675', '297353416/9876176025', '19940733/658411735', '300872147/9876176025', '302634449/9876176025', '304395064/9876176025', '102050466/3292058675', '102633542/3292058675', '309639898/9876176025', '62273242/1975235205', '104358809/3292058675', '314767223/9876176025', '105478346/3292058675', '106025357/3292058675', '319686194/9876176025', '321260939/9876176025', '322795459/9876176025', '21618966/658411735', '325722437/9876176025']
['68597037/2469470050', '137831407/4938940100', '27699321/987788020', '139187241/4938940100', '34975282/1234735025', '28127187/987788020', '141389693/4938940100', '71080163/2469470050', '71473047/2469470050', '2874903/98778802', '36138992/1234735025', '36344216/1234735025', '29241293/987788020', '36760804/1234735025', '29577173/987788020', '74366439/2469470050', '149583137/4938940100', '75217547/2469470050', '75643821/2469470050', '38034814/1234735025', '152988753/4938940100', '76917299/2469470050', '38668874/1234735025', '7775491/246947005', '156336131/4938940100', '39288164/1234735025', '157957743/4938940100', '158749387/4938940100', '159525671/4938940100', '40071067/1234735025', '161022917/4938940100', '80869463/2469470050', '40607424/1234735025']
['550588613/19758951481', '553037327/19758951481', '555595575/19758951481', '558254411/19758951481', '561004931/19758951481', '563838503/19758951481', '566746939/19758951481', '24770545/859084847', '572757999/19758951481', '575846459/19758951481', '578981413/19758951481', '582156663/19758951481', '585366263/19758951481', '588604491/19758951481', '591865913/19758951481', '595144863/19758951481', '26018973/859084847', '601734833/19758951481', '605035237/19758951481', '608332033/19758951481', '611620017/19758951481', '614893519/19758951481', '618146901/19758951481', '621374179/19758951481', '624569129/19758951481', '627725183/19758951481', '630835327/19758951481', '633892077/19758951481', '636887397/19758951481', '639812613/19758951481', '642658359/19758951481', '645414597/19758951481', '648070803/19758951481']
['276200465/9881071281', '92458171/3293690427', '92867455/3293690427', '279879929/9881071281', '93734225/3293690427', '282566633/9881071281', '94655851/3293690427', '95133961/3293690427', '31873979/1097896809', '288356159/9881071281', '96623159/3293690427', '291402935/9881071281', '97651111/3293690427', '294518059/9881071281', '98698061/3293690427', '99226369/3293690427', '299270105/9881071281', '11143135/365965603', '302459953/9881071281', '304053521/9881071281', '11320093/365965603', '307224323/9881071281', '308795909/9881071281', '103451513/3293690427', '311896867/9881071281', '313419871/9881071281', '314919841/9881071281', '316393303/9881071281', '317836055/9881071281', '319244077/9881071281', '320612525/9881071281', '321936745/9881071281', '11970793/365965603']
['554123537/19765126033', '556376719/19765126033', '558735861/19765126033', '561192741/19765126033', '563738981/19765126033', '566366435/19765126033', '569067249/19765126033', '571833999/19765126033', '574659613/19765126033', '577537411/19765126033', '580460985/19765126033', '583424285/19765126033', '586421439/19765126033', '589446773/19765126033', '592494915/19765126033', '595560281/19765126033', '598637823/19765126033', '601722109/19765126033', '604808017/19765126033', '607890125/19765126033', '610963201/19765126033', '614021641/19765126033', '617059813/19765126033', '620071831/19765126033', '623051529/19765126033', '625992431/19765126033', '628887647/19765126033', '631729885/19765126033', '634511291/19765126033', '637223513/19765126033', '639857541/19765126033', '642403849/19765126033', '644852563/19765126033']
['8685096/308876711', '139501103/4942027376', '35016687/1235506844', '6393473/224637608', '10866781/380155952', '992307/34559632', '17818731/617753422', '71608029/2471013688', '143896901/4942027376', '72295313/2471013688', '72647877/2471013688', '146010675/4942027376', '146734053/4942027376', '147464357/4942027376', '74100183/2471013688', '148940587/4942027376', '11514143/380155952', '37607183/1235506844', '497283/16256669', '75959151/2471013688', '8034755/260106704', '153398659/4942027376', '39001/1250513', '77429323/2471013688', '11967487/380155952', '19535785/617753422', '156983903/4942027376', '14333481/449275216', '79168809/2471013688', '79494859/2471013688', '39905627/1235506844', '10014597/308876711', '10051286/308876711']
['557480109/19770894503', '559549431/19770894503', '561720919/19770894503', '563987055/19770894503', '566340039/19770894503', '568772149/19770894503', '571275945/19770894503', '573844275/19770894503', '576470301/19770894503', '579147541/19770894503', '581869755/19770894503', '584630981/19770894503', '587425495/19770894503', '590247675/19770894503', '593092215/19770894503', '595953639/19770894503', '598826853/19770894503', '601706587/19770894503', '604587653/19770894503', '607464765/19770894503', '610332667/19770894503', '613185843/19770894503', '616018729/19770894503', '618825487/19770894503', '621600079/19770894503', '624336123/19770894503', '627026885/19770894503', '629665265/19770894503', '632243661/19770894503', '634753995/19770894503', '637187703/19770894503', '639535751/19770894503', '641788933/19770894503']
['279557037/9886839751', '280547225/9886839751', '281587423/9886839751', '282674243/9886839751', '283803733/9886839751', '284972347/9886839751', '286176249/9886839751', '287412159/9886839751', '288676499/9886839751', '289966289/9886839751', '291278247/9886839751', '292609631/9886839751', '293957389/9886839751', '295318961/9886839751', '296691483/9886839751', '298072465/9886839751', '299459135/9886839751', '300849123/9886839751', '302239589/9886839751', '303628161/9886839751', '305011977/9886839751', '306388525/9886839751', '307754825/9886839751', '309108195/9886839751', '310445417/9886839751', '311763563/9886839751', '313059079/9886839751', '314328683/9886839751', '315568425/9886839751', '316774559/9886839751', '317942687/9886839751', '319068647/9886839751', '320147781/9886839751']
['62295711/2197363949', '187519403/6592091847', '564553223/19776275541', '566639587/19776275541', '189603361/6592091847', '190352491/6592091847', '2266303/78167097', '575754829/19776275541', '578191399/19776275541', '580678067/19776275541', '583208789/19776275541', '195259249/6592091847', '196126435/6592091847', '591007973/19776275541', '593658509/19776275541', '198775183/6592091847', '599003971/19776275541', '200562907/6592091847', '604374497/19776275541', '607056209/19776275541', '609728593/19776275541', '204128741/6592091847', '615023617/19776275541', '617635043/19776275541', '620214541/19776275541', '622755899/19776275541', '18947047/599281077', '627697579/19776275541', '630083665/19776275541', '632403067/19776275541', '70516401/2197363949', '636808817/19776275541', '638878139/19776275541']
['140552181/4944717895', '141005492/4944717895', '2176660/76072583', '10921744/380362915', '28500635/988943579', '143042563/4944717895', '28719841/988943579', '28834267/988943579', '28951490/988943579', '145355889/4944717895', '145965271/4944717895', '146584058/4944717895', '147210958/4944717895', '147844506/4944717895', '148483513/4944717895', '149126542/4944717895', '149772418/4944717895', '150419799/4944717895', '151067454/4944717895', '151714024/4944717895', '152358308/4944717895', '152998849/4944717895', '153634396/4944717895', '154263424/4944717895', '154884562/4944717895', '155496168/4944717895', '156096736/4944717895', '156684448/4944717895', '2419348/76072583', '12139558/380362915', '158352461/4944717895', '31774017/988943579', '159365179/4944717895']
['563670973/19781287619', '565406257/19781287619', '567235651/19781287619', '569152947/19781287619', '571151493/19781287619', '573224519/19781287619', '575365335/19781287619', '577567409/19781287619', '579824467/19781287619', '582130405/19781287619', '584479367/19781287619', '586865683/19781287619', '31014941/1041120401', '591728539/19781287619', '594194537/19781287619', '596676643/19781287619', '599169713/19781287619', '601668891/19781287619', '604168849/19781287619', '606664631/19781287619', '609151027/19781287619', '611622713/19781287619', '614074293/19781287619', '616500141/19781287619', '618894451/19781287619', '621251129/19781287619', '623563829/19781287619', '625825837/19781287619', '628030127/19781287619', '630169291/19781287619', '632235601/19781287619', '634221091/19781287619', '636117901/19781287619']
['282566611/9891851829', '94465091/3297283943', '94756617/3297283943', '285187603/9891851829', '286145143/9891851829', '95713131/3297283943', '288166925/9891851829', '289224739/9891851829', '290309567/9891851829', '291418627/9891851829', '97516275/3297283943', '97899189/3297283943', '98287321/3297283943', '296039527/9891851829', '99075837/3297283943', '17554327/581873637', '99874959/3297283943', '100276431/3297283943', '302033941/9891851829', '101078861/3297283943', '101478137/3297283943', '101875005/3297283943', '306805501/9891851829', '307973293/9891851829', '309125327/9891851829', '310258793/9891851829', '103790119/3297283943', '312456941/9891851829', '313514887/9891851829', '18502399/581873637', '105176893/3297283943', '316480921/9891851829', '317387543/9891851829']
['566512779/19785948937', '568097183/19785948937', '569771463/19785948937', '571530089/19785948937', '573366949/19785948937', '575275731/19785948937', '577250151/19785948937', '579284013/19785948937', '581371291/19785948937', '583506149/19785948937', '585682909/19785948937', '587896063/19785948937', '590140297/19785948937', '592410331/19785948937', '594701101/19785948937', '597007573/19785948937', '599324591/19785948937', '601647477/19785948937', '603970919/19785948937', '606290131/19785948937', '608599911/19785948937', '610895099/19785948937', '613170383/19785948937', '615420265/19785948937', '617639089/19785948937', '619820933/19785948937', '621959629/19785948937', '624048739/19785948937', '626081511/19785948937', '628050893/19785948937', '629949597/19785948937', '631770207/19785948937', '633505491/19785948937']
['70986542/2473524277', '142350955/4947048554', '71375403/2473524277', '143171243/4947048554', '143610903/4947048554', '20581167/706721222', '144541613/4947048554', '145029637/4947048554', '72765431/2473524277', '146043761/4947048554', '73283521/2473524277', '73549624/2473524277', '147639167/4947048554', '74092701/2473524277', '148736795/4947048554', '149292007/4947048554', '149849857/4947048554', '75204546/2473524277', '21566927/706721222', '10823341/353360611', '76041375/2473524277', '10902503/353360611', '153182441/4947048554', '10980249/353360611', '154256881/4947048554', '77390535/2473524277', '11092474/353360611', '22256557/706721222', '78141656/2473524277', '156755055/4947048554', '157209459/4947048554', '157644643/4947048554', '79029487/2473524277']
['113838235/3958055481', '570634921/19790277405', '572164279/19790277405', '573774287/19790277405', '575459417/19790277405', '192404603/6596759135', '193010521/6596759135', '116181365/3958055481', '582833869/19790277405', '116961413/3958055481', '34518881/1164133965', '588870269/19790277405', '39396651/1319351827', '118610869/3958055481', '198393021/6596759135', '597319009/19790277405', '599469107/19790277405', '200541607/6596759135', '120756179/3958055481', '605932693/19790277405', '11923041/388044655', '203401011/6596759135', '612311357/19790277405', '614394701/19790277405', '616447547/19790277405', '206154721/6596759135', '206812873/6596759135', '622364693/19790277405', '624235967/19790277405', '41736383/1319351827', '209262391/6596759135', '209817793/6596759135', '631037783/19790277405']
['285245007/9896180297', '285933011/9896180297', '286662667/9896180297', '287431801/9896180297', '288237611/9896180297', '289077471/9896180297', '289948337/9896180297', '290847551/9896180297', '291772145/9896180297', '292719543/9896180297', '293686893/9896180297', '294671773/9896180297', '295671431/9896180297', '296683541/9896180297', '297705473/9896180297', '298734995/9896180297', '299769393/9896180297', '300806637/9896180297', '301843917/9896180297', '302879145/9896180297', '303909591/9896180297', '304932949/9896180297', '305946475/9896180297', '306947729/9896180297', '307933785/9896180297', '308902023/9896180297', '309849347/9896180297', '310772895/9896180297', '311669343/9896180297', '312535635/9896180297', '313368255/9896180297', '314164093/9896180297', '314919835/9896180297']
['571710835/19794290573', '573023759/19794290573', '574417971/19794290573', '30309953/1041804767', '577432131/19794290573', '579041679/19794290573', '580712229/19794290573', '582438259/19794290573', '584214331/19794290573', '586035087/19794290573', '587895273/19794290573', '31041567/1041804767', '31142819/1041804767', '593661677/19794290573', '595629283/19794290573', '597611653/19794290573', '599603761/19794290573', '601601229/19794290573', '603598901/19794290573', '605592259/19794290573', '607576277/19794290573', '609546063/19794290573', '611496549/19794290573', '613422555/19794290573', '615318715/19794290573', '617179497/19794290573', '618999193/19794290573', '620771863/19794290573', '622491367/19794290573', '624151411/19794290573', '625745569/19794290573', '627267505/19794290573', '628711251/19794290573']
['71616457/2474527569', '23924229/824842523', '71938826/2474527569', '144228653/4949055138', '72298630/2474527569', '24163684/824842523', '72690973/2474527569', '72897677/2474527569', '146221093/4949055138', '24442962/824842523', '24517365/824842523', '73779500/2474527569', '49340355/1649685046', '24748178/824842523', '148961905/4949055138', '149438329/4949055138', '74958592/2474527569', '25066216/824842523', '75438746/2474527569', '151356557/4949055138', '151833343/4949055138', '152306557/4949055138', '152775037/4949055138', '153237413/4949055138', '153692465/4949055138', '51379579/1649685046', '154574923/4949055138', '77499742/2474527569', '77705506/2474527569', '77903944/2474527569', '156188657/4949055138', '26091951/824842523', '78447854/2474527569']
['574076721/19798005611', '575268245/19798005611', '576536713/19798005611', '577878329/19798005611', '579288569/19798005611', '580762491/19798005611', '582294997/19798005611', '583880885/19798005611', '585514999/19798005611', '587192253/19798005611', '588907621/19798005611', '590656153/19798005611', '592433035/19798005611', '594233457/19798005611', '596052689/19798005611', '597886191/19798005611', '599729057/19798005611', '601576983/19798005611', '603425001/19798005611', '605268683/19798005611', '607103125/19798005611', '5586455/181633079', '610725163/19798005611', '612502785/19798005611', '614251309/19798005611', '615965395/19798005611', '617639559/19798005611', '619268145/19798005611', '620845333/19798005611', '622365179/19798005611', '623821729/19798005611', '625209149/19798005611', '626522073/19798005611']
['287610893/9899895335', '288177497/9899895335', '288781409/9899895335', '289421023/9899895335', '290094049/9899895335', '290798283/9899895335', '58306221/1979979067', '292290177/9899895335', '26642983/899990485', '293876709/9899895335', '294699241/9899895335', '295538153/9899895335', '59278181/1979979067', '27023211/899990485', '298128879/9899895335', '299009533/9899895335', '299894689/9899895335', '300782391/9899895335', '27424547/899990485', '302555569/9899895335', '303436439/9899895335', '304310481/9899895335', '305175089/9899895335', '306027959/9899895335', '306866379/9899895335', '307687921/9899895335', '308489713/9899895335', '309269177/9899895335', '310023309/9899895335', '310749403/9899895335', '62288883/1979979067', '312105737/9899895335', '312730657/9899895335']
['576294037/19801439247', '577373147/19801439247', '578524889/19801439247', '193248657/6600479749', '30580651/1042181013', '582379589/19801439247', '194594293/6600479749', '195079139/6600479749', '586738315/19801439247', '196093581/6600479749', '589859911/19801439247', '591471085/19801439247', '593109601/19801439247', '31303729/1042181013', '596450227/19801439247', '598143347/19801439247', '599845457/19801439247', '601552351/19801439247', '10583495/347393671', '604961755/19801439247', '31929221/1042181013', '202778319/6600479749', '203332085/6600479749', '203878077/6600479749', '613243891/19801439247', '614820143/19801439247', '616357723/19801439247', '617851255/19801439247', '619295237/19801439247', '620684113/19801439247', '622012337/19801439247', '32803927/1042181013', '208155379/6600479749']
